date,year,quarter,month,month_number,month_name,week,day,day_name,is_weekend
2023-01-01,2023,Q1,January,1,Jan,52,1,Sunday,True
2023-01-02,2023,Q1,January,1,Jan,1,2,Monday,False
2023-01-03,2023,Q1,January,1,Jan,1,3,Tuesday,False
2023-01-04,2023,Q1,January,1,Jan,1,4,Wednesday,False
2023-01-05,2023,Q1,January,1,Jan,1,5,Thursday,False
2023-01-06,2023,Q1,January,1,Jan,1,6,Friday,False
2023-01-07,2023,Q1,January,1,Jan,1,7,Saturday,True
2023-01-08,2023,Q1,January,1,Jan,1,8,Sunday,True
2023-01-09,2023,Q1,January,1,Jan,2,9,Monday,False
2023-01-10,2023,Q1,January,1,Jan,2,10,Tuesday,False
2023-01-11,2023,Q1,January,1,Jan,2,11,Wednesday,False
2023-01-12,2023,Q1,January,1,Jan,2,12,Thursday,False
2023-01-13,2023,Q1,January,1,Jan,2,13,Friday,False
2023-01-14,2023,Q1,January,1,Jan,2,14,Saturday,True
2023-01-15,2023,Q1,January,1,Jan,2,15,Sunday,True
2023-01-16,2023,Q1,January,1,Jan,3,16,Monday,False
2023-01-17,2023,Q1,January,1,Jan,3,17,Tuesday,False
2023-01-18,2023,Q1,January,1,Jan,3,18,Wednesday,False
2023-01-19,2023,Q1,January,1,Jan,3,19,Thursday,False
2023-01-20,2023,Q1,January,1,Jan,3,20,Friday,False
2023-01-21,2023,Q1,January,1,Jan,3,21,Saturday,True
2023-01-22,2023,Q1,January,1,Jan,3,22,Sunday,True
2023-01-23,2023,Q1,January,1,Jan,4,23,Monday,False
2023-01-24,2023,Q1,January,1,Jan,4,24,Tuesday,False
2023-01-25,2023,Q1,January,1,Jan,4,25,Wednesday,False
2023-01-26,2023,Q1,January,1,Jan,4,26,Thursday,False
2023-01-27,2023,Q1,January,1,Jan,4,27,Friday,False
2023-01-28,2023,Q1,January,1,Jan,4,28,Saturday,True
2023-01-29,2023,Q1,January,1,Jan,4,29,Sunday,True
2023-01-30,2023,Q1,January,1,Jan,5,30,Monday,False
2023-01-31,2023,Q1,January,1,Jan,5,31,Tuesday,False
2023-02-01,2023,Q1,February,2,Feb,5,1,Wednesday,False
2023-02-02,2023,Q1,February,2,Feb,5,2,Thursday,False
2023-02-03,2023,Q1,February,2,Feb,5,3,Friday,False
2023-02-04,2023,Q1,February,2,Feb,5,4,Saturday,True
2023-02-05,2023,Q1,February,2,Feb,5,5,Sunday,True
2023-02-06,2023,Q1,February,2,Feb,6,6,Monday,False
2023-02-07,2023,Q1,February,2,Feb,6,7,Tuesday,False
2023-02-08,2023,Q1,February,2,Feb,6,8,Wednesday,False
2023-02-09,2023,Q1,February,2,Feb,6,9,Thursday,False
2023-02-10,2023,Q1,February,2,Feb,6,10,Friday,False
2023-02-11,2023,Q1,February,2,Feb,6,11,Saturday,True
2023-02-12,2023,Q1,February,2,Feb,6,12,Sunday,True
2023-02-13,2023,Q1,February,2,Feb,7,13,Monday,False
2023-02-14,2023,Q1,February,2,Feb,7,14,Tuesday,False
2023-02-15,2023,Q1,February,2,Feb,7,15,Wednesday,False
2023-02-16,2023,Q1,February,2,Feb,7,16,Thursday,False
2023-02-17,2023,Q1,February,2,Feb,7,17,Friday,False
2023-02-18,2023,Q1,February,2,Feb,7,18,Saturday,True
2023-02-19,2023,Q1,February,2,Feb,7,19,Sunday,True
2023-02-20,2023,Q1,February,2,Feb,8,20,Monday,False
2023-02-21,2023,Q1,February,2,Feb,8,21,Tuesday,False
2023-02-22,2023,Q1,February,2,Feb,8,22,Wednesday,False
2023-02-23,2023,Q1,February,2,Feb,8,23,Thursday,False
2023-02-24,2023,Q1,February,2,Feb,8,24,Friday,False
2023-02-25,2023,Q1,February,2,Feb,8,25,Saturday,True
2023-02-26,2023,Q1,February,2,Feb,8,26,Sunday,True
2023-02-27,2023,Q1,February,2,Feb,9,27,Monday,False
2023-02-28,2023,Q1,February,2,Feb,9,28,Tuesday,False
2023-03-01,2023,Q1,March,3,Mar,9,1,Wednesday,False
2023-03-02,2023,Q1,March,3,Mar,9,2,Thursday,False
2023-03-03,2023,Q1,March,3,Mar,9,3,Friday,False
2023-03-04,2023,Q1,March,3,Mar,9,4,Saturday,True
2023-03-05,2023,Q1,March,3,Mar,9,5,Sunday,True
2023-03-06,2023,Q1,March,3,Mar,10,6,Monday,False
2023-03-07,2023,Q1,March,3,Mar,10,7,Tuesday,False
2023-03-08,2023,Q1,March,3,Mar,10,8,Wednesday,False
2023-03-09,2023,Q1,March,3,Mar,10,9,Thursday,False
2023-03-10,2023,Q1,March,3,Mar,10,10,Friday,False
2023-03-11,2023,Q1,March,3,Mar,10,11,Saturday,True
2023-03-12,2023,Q1,March,3,Mar,10,12,Sunday,True
2023-03-13,2023,Q1,March,3,Mar,11,13,Monday,False
2023-03-14,2023,Q1,March,3,Mar,11,14,Tuesday,False
2023-03-15,2023,Q1,March,3,Mar,11,15,Wednesday,False
2023-03-16,2023,Q1,March,3,Mar,11,16,Thursday,False
2023-03-17,2023,Q1,March,3,Mar,11,17,Friday,False
2023-03-18,2023,Q1,March,3,Mar,11,18,Saturday,True
2023-03-19,2023,Q1,March,3,Mar,11,19,Sunday,True
2023-03-20,2023,Q1,March,3,Mar,12,20,Monday,False
2023-03-21,2023,Q1,March,3,Mar,12,21,Tuesday,False
2023-03-22,2023,Q1,March,3,Mar,12,22,Wednesday,False
2023-03-23,2023,Q1,March,3,Mar,12,23,Thursday,False
2023-03-24,2023,Q1,March,3,Mar,12,24,Friday,False
2023-03-25,2023,Q1,March,3,Mar,12,25,Saturday,True
2023-03-26,2023,Q1,March,3,Mar,12,26,Sunday,True
2023-03-27,2023,Q1,March,3,Mar,13,27,Monday,False
2023-03-28,2023,Q1,March,3,Mar,13,28,Tuesday,False
2023-03-29,2023,Q1,March,3,Mar,13,29,Wednesday,False
2023-03-30,2023,Q1,March,3,Mar,13,30,Thursday,False
2023-03-31,2023,Q1,March,3,Mar,13,31,Friday,False
2023-04-01,2023,Q2,April,4,Apr,13,1,Saturday,True
2023-04-02,2023,Q2,April,4,Apr,13,2,Sunday,True
2023-04-03,2023,Q2,April,4,Apr,14,3,Monday,False
2023-04-04,2023,Q2,April,4,Apr,14,4,Tuesday,False
2023-04-05,2023,Q2,April,4,Apr,14,5,Wednesday,False
2023-04-06,2023,Q2,April,4,Apr,14,6,Thursday,False
2023-04-07,2023,Q2,April,4,Apr,14,7,Friday,False
2023-04-08,2023,Q2,April,4,Apr,14,8,Saturday,True
2023-04-09,2023,Q2,April,4,Apr,14,9,Sunday,True
2023-04-10,2023,Q2,April,4,Apr,15,10,Monday,False
2023-04-11,2023,Q2,April,4,Apr,15,11,Tuesday,False
2023-04-12,2023,Q2,April,4,Apr,15,12,Wednesday,False
2023-04-13,2023,Q2,April,4,Apr,15,13,Thursday,False
2023-04-14,2023,Q2,April,4,Apr,15,14,Friday,False
2023-04-15,2023,Q2,April,4,Apr,15,15,Saturday,True
2023-04-16,2023,Q2,April,4,Apr,15,16,Sunday,True
2023-04-17,2023,Q2,April,4,Apr,16,17,Monday,False
2023-04-18,2023,Q2,April,4,Apr,16,18,Tuesday,False
2023-04-19,2023,Q2,April,4,Apr,16,19,Wednesday,False
2023-04-20,2023,Q2,April,4,Apr,16,20,Thursday,False
2023-04-21,2023,Q2,April,4,Apr,16,21,Friday,False
2023-04-22,2023,Q2,April,4,Apr,16,22,Saturday,True
2023-04-23,2023,Q2,April,4,Apr,16,23,Sunday,True
2023-04-24,2023,Q2,April,4,Apr,17,24,Monday,False
2023-04-25,2023,Q2,April,4,Apr,17,25,Tuesday,False
2023-04-26,2023,Q2,April,4,Apr,17,26,Wednesday,False
2023-04-27,2023,Q2,April,4,Apr,17,27,Thursday,False
2023-04-28,2023,Q2,April,4,Apr,17,28,Friday,False
2023-04-29,2023,Q2,April,4,Apr,17,29,Saturday,True
2023-04-30,2023,Q2,April,4,Apr,17,30,Sunday,True
2023-05-01,2023,Q2,May,5,May,18,1,Monday,False
2023-05-02,2023,Q2,May,5,May,18,2,Tuesday,False
2023-05-03,2023,Q2,May,5,May,18,3,Wednesday,False
2023-05-04,2023,Q2,May,5,May,18,4,Thursday,False
2023-05-05,2023,Q2,May,5,May,18,5,Friday,False
2023-05-06,2023,Q2,May,5,May,18,6,Saturday,True
2023-05-07,2023,Q2,May,5,May,18,7,Sunday,True
2023-05-08,2023,Q2,May,5,May,19,8,Monday,False
2023-05-09,2023,Q2,May,5,May,19,9,Tuesday,False
2023-05-10,2023,Q2,May,5,May,19,10,Wednesday,False
2023-05-11,2023,Q2,May,5,May,19,11,Thursday,False
2023-05-12,2023,Q2,May,5,May,19,12,Friday,False
2023-05-13,2023,Q2,May,5,May,19,13,Saturday,True
2023-05-14,2023,Q2,May,5,May,19,14,Sunday,True
2023-05-15,2023,Q2,May,5,May,20,15,Monday,False
2023-05-16,2023,Q2,May,5,May,20,16,Tuesday,False
2023-05-17,2023,Q2,May,5,May,20,17,Wednesday,False
2023-05-18,2023,Q2,May,5,May,20,18,Thursday,False
2023-05-19,2023,Q2,May,5,May,20,19,Friday,False
2023-05-20,2023,Q2,May,5,May,20,20,Saturday,True
2023-05-21,2023,Q2,May,5,May,20,21,Sunday,True
2023-05-22,2023,Q2,May,5,May,21,22,Monday,False
2023-05-23,2023,Q2,May,5,May,21,23,Tuesday,False
2023-05-24,2023,Q2,May,5,May,21,24,Wednesday,False
2023-05-25,2023,Q2,May,5,May,21,25,Thursday,False
2023-05-26,2023,Q2,May,5,May,21,26,Friday,False
2023-05-27,2023,Q2,May,5,May,21,27,Saturday,True
2023-05-28,2023,Q2,May,5,May,21,28,Sunday,True
2023-05-29,2023,Q2,May,5,May,22,29,Monday,False
2023-05-30,2023,Q2,May,5,May,22,30,Tuesday,False
2023-05-31,2023,Q2,May,5,May,22,31,Wednesday,False
2023-06-01,2023,Q2,June,6,Jun,22,1,Thursday,False
