location_id,city,state,region,postal_code
LOC0001,Chennai,Tamil Nadu,South,600001
LOC0002,Chennai,Tamil Nadu,South,600011
LOC0003,Chennai,Tamil Nadu,South,600021
LOC0004,Chennai,Tamil Nadu,South,600031
LOC0005,Chennai,Tamil Nadu,South,600041
LOC0006,Bengaluru,Karnataka,South,560001
LOC0007,Bengaluru,Karnataka,South,560011
LOC0008,Bengaluru,Karnataka,South,560021
LOC0009,Bengaluru,Karnataka,South,560031
LOC0010,Bengaluru,Karnataka,South,560041
LOC0011,Hyderabad,Telangana,South,500001
LOC0012,Hyderabad,Telangana,South,500011
LOC0013,Hyderabad,Telangana,South,500021
LOC0014,Hyderabad,Telangana,South,500031
LOC0015,Hyderabad,Telangana,South,500041
LOC0016,Mumbai,Maharashtra,West,400001
LOC0017,Mumbai,Maharashtra,West,400011
LOC0018,Mumbai,Maharashtra,West,400021
LOC0019,Mumbai,Maharashtra,West,400031
LOC0020,Mumbai,Maharashtra,West,400041
LOC0021,Delhi,Delhi,North,110001
LOC0022,Delhi,Delhi,North,110011
LOC0023,Delhi,Delhi,North,110021
LOC0024,Delhi,Delhi,North,110031
LOC0025,Delhi,Delhi,North,110041
LOC0026,Pune,Maharashtra,West,411001
LOC0027,Pune,Maharashtra,West,411011
LOC0028,Pune,Maharashtra,West,411021
LOC0029,Pune,Maharashtra,West,411031
LOC0030,Pune,Maharashtra,West,411041
LOC0031,Kolkata,West Bengal,East,700001
LOC0032,Kolkata,West Bengal,East,700011
LOC0033,Kolkata,West Bengal,East,700021
LOC0034,Kolkata,West Bengal,East,700031
LOC0035,Kolkata,West Bengal,East,700041
LOC0036,Ahmedabad,Gujarat,West,380001
LOC0037,Ahmedabad,Gujarat,West,380011
LOC0038,Ahmedabad,Gujarat,West,380021
LOC0039,Ahmedabad,Gujarat,West,380031
LOC0040,Ahmedabad,Gujarat,West,380041
LOC0041,Coimbatore,Tamil Nadu,South,641001
LOC0042,Coimbatore,Tamil Nadu,South,641011
LOC0043,Coimbatore,Tamil Nadu,South,641021
LOC0044,Coimbatore,Tamil Nadu,South,641031
LOC0045,Coimbatore,Tamil Nadu,South,641041
LOC0046,Madurai,Tamil Nadu,South,625001
LOC0047,Madurai,Tamil Nadu,South,625011
LOC0048,Madurai,Tamil Nadu,South,625021
