order_item_id,order_id,product_id,quantity,unit_price,discount,revenue,profit,shipping_cost
ITEM0000001,ORD000001,PROD00203,1,4798.48,0.0,4798.48,1722.72,10.0
ITEM0000002,ORD000001,PROD00261,1,3147.52,0.0,3147.52,1395.47,10.0
ITEM0000003,ORD000001,PROD00385,1,1381.2,0.0,1381.2,545.57,10.0
ITEM0000004,ORD000001,PROD00138,1,15988.37,0.0,15988.37,3030.38,10.0
ITEM0000005,ORD000002,PROD00422,1,2462.35,0.05,2339.23,875.14,40.0
ITEM0000006,ORD000003,PROD00321,1,16738.38,0.1,15064.54,1926.6,45.0
ITEM0000007,ORD000003,PROD00474,3,518.07,0.2,1243.37,300.65,45.0
ITEM0000008,ORD000004,PROD00411,4,488.92,0.05,1857.9,562.26,20.0
ITEM0000009,ORD000004,PROD00179,1,7686.31,0.15,6533.36,1371.15,20.0
ITEM0000010,ORD000005,PROD00359,1,1285.57,0.0,1285.57,330.65,45.0
ITEM0000011,ORD000005,PROD00413,2,606.06,0.0,1212.12,362.78,45.0
ITEM0000012,ORD000006,PROD00007,3,32265.69,0.05,91957.22,24677.21,150.0
ITEM0000013,ORD000007,PROD00433,1,2930.03,0.1,2637.03,679.13,20.0
ITEM0000014,ORD000007,PROD00233,1,1433.54,0.15,1218.51,289.15,20.0
ITEM0000015,ORD000008,PROD00102,2,39083.28,0.05,74258.23,12364.77,40.0
ITEM0000016,ORD000009,PROD00027,1,26418.44,0.15,22455.67,192.84,20.0
ITEM0000017,ORD000009,PROD00045,2,16213.88,0.0,32427.76,4573.8,20.0
ITEM0000018,ORD000010,PROD00066,2,37743.4,0.0,75486.8,11556.34,90.0
ITEM0000019,ORD000011,PROD00439,2,3503.11,0.0,7006.22,3242.5,90.0
ITEM0000020,ORD000012,PROD00468,1,958.24,0.05,910.33,197.05,20.0
ITEM0000021,ORD000012,PROD00211,1,2824.85,0.0,2824.85,1477.23,20.0
ITEM0000022,ORD000013,PROD00348,2,968.94,0.15,1647.2,345.4,40.0
ITEM0000023,ORD000014,PROD00033,4,33296.72,0.05,126527.54,16802.9,40.0
ITEM0000024,ORD000015,PROD00215,1,1223.28,0.0,1223.28,508.73,20.0
ITEM0000025,ORD000015,PROD00316,1,2296.89,0.2,1837.51,41.73,20.0
ITEM0000026,ORD000016,PROD00186,3,16918.9,0.15,43143.2,5173.34,90.0
ITEM0000027,ORD000017,PROD00253,1,4274.81,0.05,4061.07,1955.85,40.0
ITEM0000028,ORD000018,PROD00385,1,1381.2,0.0,1381.2,542.24,13.33
ITEM0000029,ORD000018,PROD00229,1,570.2,0.15,484.67,75.94,13.33
ITEM0000030,ORD000018,PROD00205,1,9179.19,0.0,9179.19,3150.47,13.33
ITEM0000031,ORD000019,PROD00086,3,44236.47,0.0,132709.41,35000.9,40.0
ITEM0000032,ORD000020,PROD00317,1,8266.31,0.0,8266.31,2709.06,40.0
ITEM0000033,ORD000021,PROD00094,1,18796.56,0.05,17856.73,3193.24,90.0
ITEM0000034,ORD000022,PROD00363,1,933.38,0.0,933.38,297.95,40.0
ITEM0000035,ORD000023,PROD00211,1,2824.85,0.0,2824.85,1457.23,40.0
ITEM0000036,ORD000024,PROD00318,2,2774.61,0.05,5271.76,973.68,90.0
ITEM0000037,ORD000025,PROD00155,1,31834.2,0.0,31834.2,5181.23,40.0
