order_id,customer_id,order_date,shipping_date,shipping_method,location_id,order_status
ORD000001,CUST01897,2024-10-23,2024-10-25,Standard,LOC0138,Delivered
ORD000002,CUST04551,2025-04-03,2025-04-07,Standard,LOC0007,Delivered
ORD000003,CUST02433,2024-06-20,2024-06-21,Express,LOC0111,Delivered
ORD000004,CUST02192,2024-09-07,2024-09-11,Standard,LOC0099,Delivered
ORD000005,CUST00576,2025-12-07,2025-12-08,Express,LOC0061,Delivered
ORD000006,CUST03679,2024-08-03,2024-08-03,Same Day,LOC0115,Delivered
ORD000007,CUST00193,2025-05-03,,Standard,LOC0113,Cancelled
ORD000008,CUST00986,2025-11-12,2025-11-16,Standard,LOC0023,Delivered
ORD000009,CUST02117,2024-02-06,2024-02-09,Standard,LOC0075,Delivered
ORD000010,CUST03477,2024-03-30,2024-03-31,Express,LOC0010,Delivered
ORD000011,CUST04654,2024-12-19,2024-12-20,Express,LOC0020,Shipped
ORD000012,CUST01592,2024-06-25,2024-06-28,Standard,LOC0092,Delivered
ORD000013,CUST03071,2025-03-26,2025-03-30,Standard,LOC0106,Delivered
ORD000014,CUST00684,2024-09-19,2024-09-22,Standard,LOC0149,Delivered
ORD000015,CUST00325,2023-10-23,2023-10-27,Standard,LOC0059,Delivered
ORD000016,CUST03806,2025-05-28,2025-05-29,Express,LOC0070,Delivered
ORD000017,CUST00923,2023-09-23,2023-09-25,Standard,LOC0023,Delivered
ORD000018,CUST00055,2024-05-14,2024-05-16,Standard,LOC0040,Delivered
ORD000019,CUST02969,2025-09-13,,Standard,LOC0081,Processing
ORD000020,CUST03027,2025-12-03,2025-12-07,Standard,LOC0100,Delivered
ORD000021,CUST02662,2025-08-10,2025-08-11,Express,LOC0075,Delivered
ORD000022,CUST01896,2023-05-15,2023-05-17,Standard,LOC0085,Delivered
ORD000023,CUST04159,2025-11-23,2025-11-26,Standard,LOC0091,Delivered
ORD000024,CUST00511,2023-05-03,2023-05-04,Express,LOC0131,Delivered
ORD000025,CUST04251,2025-05-19,2025-05-22,Standard,LOC0051,Delivered
ORD000026,CUST00532,2024-08-31,2024-09-02,Standard,LOC0128,Delivered
ORD000027,CUST00648,2023-12-29,2023-12-30,Express,LOC0015,Returned
ORD000028,CUST00533,2024-10-26,2024-10-30,Standard,LOC0075,Delivered
ORD000029,CUST01012,2025-07-18,2025-07-21,Standard,LOC0093,Delivered
ORD000030,CUST04192,2024-06-06,2024-06-08,Standard,LOC0123,Delivered
ORD000031,CUST04739,2024-01-19,2024-01-20,Express,LOC0110,Delivered
ORD000032,CUST01389,2023-05-30,2023-05-31,Express,LOC0080,Delivered
ORD000033,CUST04546,2025-09-06,2025-09-07,Express,LOC0080,Delivered
ORD000034,CUST02837,2023-08-17,2023-08-20,Standard,LOC0098,Delivered
ORD000035,CUST01062,2024-03-15,2024-03-16,Express,LOC0014,Delivered
ORD000036,CUST03447,2025-05-17,2025-05-20,Standard,LOC0053,Delivered
ORD000037,CUST02275,2025-07-22,2025-07-24,Standard,LOC0029,Delivered
ORD000038,CUST02574,2024-10-08,2024-10-11,Standard,LOC0114,Delivered
ORD000039,CUST00848,2024-11-21,2024-11-25,Standard,LOC0082,Delivered
ORD000040,CUST02265,2024-09-01,2024-09-05,Standard,LOC0126,Delivered
ORD000041,CUST00646,2023-08-25,2023-08-28,Standard,LOC0062,Delivered
ORD000042,CUST04089,2023-07-14,2023-07-17,Standard,LOC0033,Delivered
ORD000043,CUST02178,2025-10-12,2025-10-16,Standard,LOC0048,Delivered
ORD000044,CUST04215,2023-04-02,2023-04-06,Standard,LOC0036,Delivered
ORD000045,CUST02950,2025-12-26,2025-12-26,Same Day,LOC0098,Delivered
ORD000046,CUST03919,2025-08-14,2025-08-16,Standard,LOC0121,Delivered
ORD000047,CUST04857,2024-11-29,2024-12-01,Standard,LOC0053,Shipped
ORD000048,CUST00592,2025-03-03,2025-03-04,Express,LOC0112,Shipped
ORD000049,CUST02832,2024-10-12,2024-10-16,Standard,LOC0051,Delivered
ORD000050,CUST04263,2025-02-10,2025-02-13,Standard,LOC0026,Delivered
ORD000051,CUST02894,2023-11-07,2023-11-09,Standard,LOC0054,Delivered
ORD000052,CUST04670,2025-12-31,2026-01-02,Standard,LOC0141,Delivered
ORD000053,CUST03781,2025-01-05,2025-01-09,Standard,LOC0009,Delivered
ORD000054,CUST02326,2025-04-15,2025-04-18,Standard,LOC0107,Delivered
ORD000055,CUST01596,2025-09-13,2025-09-15,Standard,LOC0052,Delivered
ORD000056,CUST00352,2025-06-12,2025-06-16,Standard,LOC0139,Delivered
ORD000057,CUST02750,2025-05-30,2025-06-02,Standard,LOC0096,Delivered
ORD000058,CUST02159,2025-11-28,2025-11-30,Standard,LOC0127,Returned
ORD000059,CUST02305,2024-11-14,2024-11-18,Standard,LOC0128,Delivered
ORD000060,CUST02309,2025-11-05,,Express,LOC0063,Cancelled
ORD000061,CUST02370,2025-01-29,2025-01-30,Express,LOC0093,Delivered
ORD000062,CUST02096,2024-07-11,2024-07-15,Standard,LOC0048,Delivered
ORD000063,CUST00523,2024-08-17,2024-08-18,Express,LOC0028,Delivered
ORD000064,CUST01898,2025-06-10,2025-06-11,Express,LOC0064,Delivered
ORD000065,CUST00113,2024-10-27,2024-10-30,Standard,LOC0025,Shipped
ORD000066,CUST01013,2025-01-17,2025-01-21,Standard,LOC0051,Delivered
ORD000067,CUST04176,2023-08-21,2023-08-23,Standard,LOC0115,Delivered
ORD000068,CUST04735,2025-11-06,2025-11-07,Express,LOC0054,Delivered
ORD000069,CUST04718,2024-08-24,2024-08-25,Express,LOC0144,Returned
ORD000070,CUST04094,2025-12-03,2025-12-04,Express,LOC0042,Delivered
ORD000071,CUST00499,2025-03-07,2025-03-08,Express,LOC0011,Delivered
ORD000072,CUST01416,2025-02-19,2025-02-21,Standard,LOC0001,Delivered
ORD000073,CUST03056,2023-07-29,2023-08-01,Standard,LOC0035,Delivered
ORD000074,CUST02462,2023-02-13,2023-02-17,Standard,LOC0027,Delivered
ORD000075,CUST01263,2024-11-30,2024-12-03,Standard,LOC0127,Delivered
ORD000076,CUST03732,2024-08-28,2024-08-29,Express,LOC0104,Delivered
ORD000077,CUST04039,2025-07-27,2025-07-31,Standard,LOC0025,Delivered
ORD000078,CUST03257,2024-04-15,,Standard,LOC0052,Processing
ORD000079,CUST03513,2025-11-14,,Express,LOC0006,Cancelled
ORD000080,CUST03332,2025-09-29,2025-10-03,Standard,LOC0096,Delivered
ORD000081,CUST03516,2024-11-16,2024-11-19,Standard,LOC0137,Delivered
ORD000082,CUST00499,2024-10-17,2024-10-21,Standard,LOC0011,Delivered
ORD000083,CUST01338,2023-07-15,2023-07-16,Express,LOC0140,Delivered
ORD000084,CUST00490,2023-05-09,2023-05-13,Standard,LOC0114,Delivered
ORD000085,CUST00533,2025-06-06,2025-06-08,Standard,LOC0075,Delivered
ORD000086,CUST04055,2025-09-21,2025-09-25,Standard,LOC0055,Delivered
ORD000087,CUST03147,2025-01-31,,Express,LOC0076,Cancelled
ORD000088,CUST03080,2025-08-10,2025-08-12,Standard,LOC0065,Delivered
ORD000089,CUST01852,2025-01-17,2025-01-18,Express,LOC0150,Delivered
ORD000090,CUST04560,2025-12-07,2025-12-11,Standard,LOC0125,Delivered
ORD000091,CUST01063,2025-05-13,2025-05-15,Standard,LOC0150,Delivered
ORD000092,CUST03186,2024-12-27,2024-12-28,Express,LOC0100,Delivered
ORD000093,CUST03068,2025-03-16,2025-03-20,Standard,LOC0023,Delivered
ORD000094,CUST01664,2023-11-26,2023-11-28,Standard,LOC0132,Delivered
ORD000095,CUST04124,2025-12-09,2025-12-12,Standard,LOC0017,Delivered
ORD000096,CUST04072,2025-05-30,2025-06-02,Standard,LOC0130,Delivered
ORD000097,CUST00689,2024-04-02,,Standard,LOC0076,Cancelled
ORD000098,CUST01617,2025-11-10,2025-11-12,Standard,LOC0142,Delivered
ORD000099,CUST02352,2025-08-26,2025-08-29,Standard,LOC0060,Delivered
ORD000100,CUST02990,2025-07-05,2025-07-09,Standard,LOC0098,Delivered
ORD000101,CUST00127,2025-07-07,2025-07-11,Standard,LOC0045,Shipped
ORD000102,CUST01913,2025-03-19,2025-03-23,Standard,LOC0138,Delivered
ORD000103,CUST04250,2024-12-23,2024-12-25,Standard,LOC0063,Delivered
ORD000104,CUST03772,2024-09-08,2024-09-09,Express,LOC0033,Delivered
ORD000105,CUST02942,2023-11-15,2023-11-17,Standard,LOC0070,Delivered
ORD000106,CUST04315,2025-10-24,2025-10-26,Standard,LOC0042,Shipped
ORD000107,CUST04257,2024-10-27,2024-10-29,Standard,LOC0025,Delivered
ORD000108,CUST02274,2023-10-22,2023-10-23,Express,LOC0053,Delivered
ORD000109,CUST02611,2024-11-08,2024-11-10,Standard,LOC0147,Delivered
ORD000110,CUST04744,2025-08-17,2025-08-18,Express,LOC0050,Delivered
ORD000111,CUST00388,2024-10-20,2024-10-24,Standard,LOC0139,Delivered
ORD000112,CUST00710,2025-09-15,2025-09-19,Standard,LOC0084,Delivered
ORD000113,CUST01983,2024-07-17,2024-07-17,Same Day,LOC0148,Delivered
ORD000114,CUST00685,2025-09-18,2025-09-20,Standard,LOC0002,Shipped
ORD000115,CUST04124,2025-04-21,2025-04-23,Standard,LOC0017,Delivered
ORD000116,CUST04678,2023-07-28,2023-08-01,Standard,LOC0069,Delivered
ORD000117,CUST03582,2024-11-13,,Express,LOC0043,Cancelled
ORD000118,CUST02498,2024-03-17,2024-03-19,Standard,LOC0088,Delivered
ORD000119,CUST04063,2023-07-14,,Express,LOC0036,Cancelled
ORD000120,CUST03121,2025-03-02,,Standard,LOC0039,Cancelled
ORD000121,CUST01229,2023-05-21,2023-05-22,Express,LOC0138,Delivered
ORD000122,CUST04965,2024-04-02,2024-04-02,Same Day,LOC0098,Delivered
ORD000123,CUST03903,2024-06-01,2024-06-02,Express,LOC0144,Delivered
ORD000124,CUST00859,2025-10-14,2025-10-18,Standard,LOC0064,Delivered
ORD000125,CUST00247,2024-07-24,2024-07-24,Same Day,LOC0085,Delivered
ORD000126,CUST00532,2025-06-18,2025-06-21,Standard,LOC0128,Delivered
ORD000127,CUST02804,2025-12-13,2025-12-13,Same Day,LOC0142,Delivered
