product_id,product_name,category_id,category,subcategory,unit_cost,unit_price
PROD00001,Apex Headphones Max 381,1,Electronics,Headphones,11305.89,13475.05
PROD00002,Pro Headphones X 704,1,Electronics,Headphones,18033.03,20899.18
PROD00003,Volt Smartwatches Ultra 716,1,Electronics,Smartwatches,3008.37,3639.07
PROD00004,Volt Cameras Plus 703,1,Electronics,Cameras,12571.25,17735.39
PROD00005,Titan Smartwatches Lite 384,1,Electronics,Smartwatches,7908.22,11365.41
PROD00006,Aura Speakers X 489,1,Electronics,Speakers,5675.22,7969.42
PROD00007,Apex Speakers Max 570,1,Electronics,Speakers,22376.67,32265.69
PROD00008,Aura Cameras Ultra 400,1,Electronics,Cameras,33517.38,44764.33
PROD00009,Urban Speakers Pro 821,1,Electronics,Speakers,4643.1,6260.65
PROD00010,Aura Speakers Pro 987,1,Electronics,Speakers,5838.05,7200.61
PROD00011,Zenith Speakers Lite 463,1,Electronics,Speakers,9961.27,12253.29
PROD00012,Urban Headphones Max 275,1,Electronics,Headphones,22297.32,27279.5
PROD00013,Titan Cameras Lite 755,1,Electronics,Cameras,28150.15,34227.34
PROD00014,Apex Speakers Pro 941,1,Electronics,Speakers,3219.81,4007.49
PROD00015,Aura Speakers Pro 680,1,Electronics,Speakers,35301.97,43929.89
PROD00016,Titan Cameras Max 569,1,Electronics,Cameras,7429.12,8854.69
PROD00017,Urban Speakers Plus 697,1,Electronics,Speakers,17177.22,20884.0
PROD00018,Pro Smartwatches Plus 193,1,Electronics,Smartwatches,30719.72,43263.53
PROD00019,Zenith Smartwatches Max 532,1,Electronics,Smartwatches,24663.54,31209.99
PROD00020,Pro Cameras Lite 666,1,Electronics,Cameras,34709.63,40035.62
PROD00021,Pro Headphones Lite 887,1,Electronics,Headphones,26356.55,31192.07
PROD00022,Zenith Cameras Plus 103,1,Electronics,Cameras,38245.01,54030.86
PROD00023,Pro Speakers Pro 619,1,Electronics,Speakers,36679.86,51760.99
PROD00024,Pro Speakers Ultra 303,1,Electronics,Speakers,7807.89,10765.16
PROD00025,Urban Headphones Lite 600,1,Electronics,Headphones,2740.12,3914.89
PROD00026,Volt Speakers X 346,1,Electronics,Speakers,35364.36,50715.5
PROD00027,Eco Headphones X 878,1,Electronics,Headphones,22242.83,26418.44
PROD00028,Pro Cameras Pro 371,1,Electronics,Cameras,22051.6,29372.26
PROD00029,Pro Smartwatches Max 806,1,Electronics,Smartwatches,9643.74,11992.13
PROD00030,Eco Speakers Ultra 562,1,Electronics,Speakers,6598.16,8032.66
PROD00031,Apex Speakers Ultra 667,1,Electronics,Speakers,10744.36,13065.84
PROD00032,Apex Headphones Pro 169,1,Electronics,Headphones,36405.96,51255.61
PROD00033,Pro Headphones Pro 385,1,Electronics,Headphones,27421.16,33296.72
PROD00034,Urban Smartwatches Ultra 584,1,Electronics,Smartwatches,11233.9,14512.98
PROD00035,Volt Cameras X 199,1,Electronics,Cameras,27041.34,33971.75
PROD00036,Eco Cameras Max 155,1,Electronics,Cameras,27587.85,39871.33
PROD00037,Apex Headphones Plus 845,1,Electronics,Headphones,14893.5,20977.52
PROD00038,Volt Smartwatches Pro 649,1,Electronics,Smartwatches,19047.31,24315.13
PROD00039,Eco Speakers Pro 995,1,Electronics,Speakers,37084.09,47576.64
PROD00040,Apex Headphones Max 653,1,Electronics,Headphones,33769.05,48651.03
PROD00041,Zenith Smartwatches Plus 597,1,Electronics,Smartwatches,20291.62,28598.91
PROD00042,Zenith Headphones Plus 102,1,Electronics,Headphones,39441.74,48496.02
PROD00043,Nova Mice Plus 813,2,Computers & Accessories,Mice,38378.07,55595.5
PROD00044,Eco Storage Pro 294,2,Computers & Accessories,Storage,13274.9,19123.99
PROD00045,Pro Storage X 865,2,Computers & Accessories,Storage,13916.98,16213.88
PROD00046,Pro Mice Ultra 261,2,Computers & Accessories,Mice,4161.42,5419.62
PROD00047,Aura Monitors Ultra 169,2,Computers & Accessories,Monitors,27658.08,33758.37
PROD00048,Urban Laptops Pro 692,2,Computers & Accessories,Laptops,24591.73,32849.99
PROD00049,Urban Mice Ultra 635,2,Computers & Accessories,Mice,14022.05,17222.3
PROD00050,Volt Keyboards Lite 505,2,Computers & Accessories,Keyboards,6973.37,9369.78
PROD00051,Pulse Mice X 109,2,Computers & Accessories,Mice,19414.85,28142.53
PROD00052,Aura Laptops Ultra 318,2,Computers & Accessories,Laptops,21223.62,25250.52
PROD00053,Aura Keyboards Pro 478,2,Computers & Accessories,Keyboards,12829.52,16440.46
PROD00054,Nova Storage Ultra 926,2,Computers & Accessories,Storage,26851.1,30941.78
PROD00055,Nova Storage Max 206,2,Computers & Accessories,Storage,37679.34,44849.24
PROD00056,Aura Laptops Max 666,2,Computers & Accessories,Laptops,7907.02,9761.43
PROD00057,Pulse Monitors Pro 803,2,Computers & Accessories,Monitors,26101.04,32083.28
PROD00058,Nova Mice X 194,2,Computers & Accessories,Mice,26102.81,36512.72
PROD00059,Apex Laptops Lite 889,2,Computers & Accessories,Laptops,6971.15,10065.91
PROD00060,Eco Monitors Ultra 822,2,Computers & Accessories,Monitors,18252.1,21042.87
PROD00061,Zenith Laptops Ultra 136,2,Computers & Accessories,Laptops,33714.61,44663.53
PROD00062,Titan Monitors Pro 142,2,Computers & Accessories,Monitors,13713.82,19469.43
PROD00063,Pulse Laptops Pro 798,2,Computers & Accessories,Laptops,11482.13,13558.54
PROD00064,Titan Storage Ultra 867,2,Computers & Accessories,Storage,7873.03,11250.27
PROD00065,Zenith Monitors Plus 125,2,Computers & Accessories,Monitors,8815.71,12583.06
PROD00066,Volt Mice Lite 263,2,Computers & Accessories,Mice,31920.23,37743.4
PROD00067,Eco Laptops Pro 304,2,Computers & Accessories,Laptops,33030.29,42546.02
PROD00068,volt keyboards pro 124,2,Computers & Accessories,Keyboards,27081.26,34380.74
PROD00069,Aura Keyboards Lite 459,2,Computers & Accessories,Keyboards,26376.31,33495.36
PROD00070,Pulse Storage X 218,2,Computers & Accessories,Storage,35327.46,43395.0
PROD00071,Nova Storage X 211,2,Computers & Accessories,Storage,24669.71,30928.56
PROD00072,Titan Keyboards Ultra 623,2,Computers & Accessories,Keyboards,6394.54,9079.3
PROD00073,Nova Monitors X 825,2,Computers & Accessories,Monitors,18570.19,24252.22
PROD00074,Volt Storage Lite 541,2,Computers & Accessories,Storage,4659.0,6286.26
PROD00075,Urban Keyboards Lite 779,2,Computers & Accessories,Keyboards,34224.58,46748.25
PROD00076,Pro Keyboards Lite 782,2,Computers & Accessories,Keyboards,17518.93,22261.66
PROD00077,Pro Keyboards Pro 296,2,Computers & Accessories,Keyboards,17976.96,25744.97
PROD00078,Urban Monitors Ultra 408,2,Computers & Accessories,Monitors,17430.86,24405.25
PROD00079,Nova Keyboards Pro 540,2,Computers & Accessories,Keyboards,31858.84,42435.92
PROD00080,Eco Keyboards Plus 552,2,Computers & Accessories,Keyboards,27673.83,36068.75
PROD00081,Aura Monitors Lite 627,2,Computers & Accessories,Monitors,27226.45,36368.49
PROD00082,Volt Laptops Max 417,2,Computers & Accessories,Laptops,10536.35,12746.23
PROD00083,Apex Laptops Pro 586,2,Computers & Accessories,Laptops,25228.41,34829.0
PROD00084,Titan Mice Max 689,2,Computers & Accessories,Mice,9388.54,12758.14
PROD00085,Titan Cases Pro 251,3,Mobile & Tablets,Cases,26930.2,31014.53
PROD00086,Titan Smartphones Pro 280,3,Mobile & Tablets,Smartphones,32556.17,44236.47
PROD00087,Apex Cases Ultra 355,3,Mobile & Tablets,Cases,36863.86,43735.56
PROD00088,Eco Tablets Max 643,3,Mobile & Tablets,Tablets,39539.91,52534.14
PROD00089,Urban Cases Max 616,3,Mobile & Tablets,Cases,18216.15,25904.39
PROD00090,Zenith Cases Max 982,3,Mobile & Tablets,Cases,20037.63,24601.35
PROD00091,Nova Tablets Ultra 596,3,Mobile & Tablets,Tablets,25816.44,31815.65
PROD00092,Nova Smartphones Pro 378,3,Mobile & Tablets,Smartphones,14762.21,20931.45
PROD00093,Zenith Smartphones Pro 336,3,Mobile & Tablets,Smartphones,16555.34,19797.57
PROD00094,Aura Tablets Plus 517,3,Mobile & Tablets,Tablets,14573.49,18796.56
PROD00095,Volt Smartphones Plus 498,3,Mobile & Tablets,Smartphones,36383.86,48216.76
